Identifier,Label,Status,Description,Created,Modified,History notes,Type
367,Census information,Live,Publication of information from a national census or other surveys relating to the local area. The information published should not disclose any information about individuals residents or households but should summarise details across the whole area or relevant sub-areas. In the UK published information is currently from the 2011 national census.,03/04/2013,16/05/2019,"Added scope notes in version 2.02, updated in version 3.06. Term name changed from 'Census information' to 'Statistics - census information' in version 3.00. Name changed to 'Census information' in version 4.00.",Service
370,Change of circumstances,Live,Providing information and advice on when and how local residents are required to notify the council about a change in circumstances which may effect their entitlement to other council services.  Providing residents with a standard means of notifying a change of circumstances.,03/04/2013,03/04/2013,Added scope notes in version 2.02. Term name changed from 'Generic change of circumstances form' to 'Council - services - residents change of circumstances' in version 3.00. Name changed to 'Change of circumstances' in version 4.00.,Service
711,Change of housing tenancy,Live,"Dealing with requests to change the terms of a tenancy for existing tenants.  This covers transfer of tenancies, requests for joint tenancy, succession to tenancy.",03/04/2013,03/04/2013,Added scope notes in version 2.02. Scope notes updated in version 3.00 to clarify council responsibility. Term name changed from 'Housing allocations - change of tenancy' to 'Housing - allocations - change of tenancy' in version 3.00. name changed to 'Change of housing tenancy' in version 4.00.,Service
1783,Channel early intervention scheme,Live,"Channel is an early intervention scheme, which provides support to anyone identified as being at risk of radicalisation and vulnerable to being drawn into terrorism and.   It provides tailored individual support. to vulnerable children and adults of any faith, ethnicity or background before they become involved in criminal terrorist related activity.  As part of the channel strategy each responsible local authority is required to set up an assessment and support panel for it's area.",08/05/2017,08/05/2017,Added in March 2017.,Service
631,Chaperone service,Live,"A child taking part in a performance, which can include TV or filming, theatre, sporting activities or modelling, will require chaperoning. Chaperones employed by the local education authority should have passed all necessary checks for working with children",03/04/2013,03/04/2013,Added scope notes in version 2.02. Scope notes updated in version 3.00. Term name changed from 'Chaperone service' to 'Children and young people - chaperone service' in version 3.00. name changed to 'Chaperone service' in version 4.00.,Service
1780,Child assessment order,Live,"The council can apply for a child assessment order where they consider that a child may be vulnerable and potentially at risk or suffering from physical, emotional or sexual abuse.",12/09/2016,12/09/2016,Added in March 2016 review of legislation,Service
1726,Child employment registration,Live,"When a child of compulsory school age is employed to work after school, at weekends or during school holidays, the law states that they must be registered for work with their local authority, who will issue a work permit. - See more at: http://www.devon.gov.uk/child_employment",20/02/2014,16/05/2019,,Service
1748,Child measurement,Live,The National Child Measurement Programme (NCMP) measures the weight and height of children in reception class (aged 4 to 5 years) and year 6 (aged 10 to 11 years) to assess overweight children and obese levels within primary schools. This data can be used at a national level to support local public health initiatives and inform the local planning and delivery of services for children.,05/02/2015,05/02/2015,,Service
48,Child performance licences,Live,A licence is required for school age children to perform in the theatre or on television. Before granting a licence the Education Authority will liaise with the Headteacher of the child's school to ensure that the child's education will not suffer should that licence be granted.,03/04/2013,03/04/2013,Added scope notes in version 2.02. Term name changed from 'Performance/stage licences for school age children' to 'Licences - children and young people - employment byelaws' in version 3.00. Name changed to 'Child performance licences' in version 4.00,Service
1676,Child poverty needs assessment,Live,A child poverty needs assessment is carried out by a council to identify the causes of child poverty and the outcomes for children living in poverty in the council area. It helps to build an understanding of the experiences of families living in poverty and how it relates to risk factors and outcomes.,20/02/2014,20/02/2014,,Service
1677,Child poverty strategy,Live,Development and implementation of a strategy to reduce child poverty in the local area.,20/02/2014,20/02/2014,,Service
266,Child protection,Live,"The child protection scheme takes measures to safeguard  vulnerable children and young people at risk or suffering from physical, emotional or sexual abuse.  This involves investigating reports of suspected abuse and where appropriate applying for a Child Assessment Order, Care Order, Supervision Order or Emergency Protection Order.",03/04/2013,03/04/2013,Added scope notes in version 2.02. Scope notes updated in version 3.00 for clarification. Term name changed from 'Child protection' to 'Children and young people - child protection' in version 3.00. Name changed to 'Child protection' in version 4.00.,Service
310,Child protection orders,Live,The local authority can apply for an emergency protection order of 8 to 15 days to safeguard a child who may be in danger living at home.,03/04/2013,03/04/2013,Added scope notes in version 2.02. Term name changed from 'Protection order' to 'Children and young people - child protection orders' in version 3.00. Name changed to 'Child protection orders' in version 4.00.,Service
1694,Child safety orders,Live,"A CSO will be granted if there is sufficient concern about the behaviour of a child in the care of his or her family. If there is reason to suspect that the child's behaviour is a direct result of problems within the family unit, a Child Safety Order may be issued by the Family Proceedings Court in order to allow for the intervention and supervision of either local authority and/orÂ Youth Offending Teams.",20/02/2014,20/02/2014,,Service
19,Childcare out of school hours,Live,"Out of school hours services for children, usually based in or near schools.  The service is available to all families in the local area however local priorities for places may apply.",03/04/2013,03/04/2013,Added scope notes in version 2.02. Scope notes updated in version 3.00 to clarify eligibility. Term name changed from 'After and/or before school childcare' to 'Childcare - out of school hours' in version 3.00.  Term name changed to 'Childcare out of school hours' in version 4.00.,Service
1680,Childcare sufficiency assessment,Live,"A council must make sure there is sufficient childcare provision in the local area to enable parents to work, or undertake education and training leading to work. To ensure there is sufficient childcare an assessment of supply and demand for childcare services within a local authority area is carried out at regular intervals, consulting with parents and childcare providers as appropriate.",20/02/2014,20/02/2014,,Service
924,Childhood immunisation,Live,The immunisation service provides a programme of childhood vaccinations against diseases such as polio and measles. It also provides vaccines against seasonal and pandemic influenza (flu) and Pneumococcal infections.,03/04/2013,16/05/2019,"Term name changed from 'Immunisation' to 'Children and young people - immunisation' in version 3.00. Name changed to 'Immunisation' in version 4.00. Add to LGSL, update description and scope notes in version 4.0.1.",Service
21,Childminders,Live,"Information and support for those interested in becoming a registered childminder and those who are already registered.  This may include training, grants and funding, ongoing support and information about setting up childcare.",03/04/2013,03/04/2013,Added scope notes in version 2.02. Term name changed from 'Services for childminders' to 'Childcare - services for childminders' in version 3.00. Term name changed to 'Childminders' in version 4.00.,Service
20,Childminding and day care,Live,Registered childminders and daycare facilities which are available in the local area for parents and carers of pre-school age children.,04/03/2013,16/05/2019,Description updated in April 2020 review,Service
53,Children's centres,Live,"Children's centres are usually open to all parents, carers and children and provide early learning and full day care for pre-school children.  They also provide help and advice on child and family health, parenting, money, training and employment to parents and carers.",03/04/2013,16/05/2019,Added scope notes in version 2.02. Term name changed from 'Parents centres' to 'Families - family centres' in version 3.00.  Name changed to 'Family centres' in version 4.00.,Service
449,Children's libraries,Live,The children's library service offers books and computer learning facilities for children. The library may also provide CDs and cassettes and there will often be organised activities during school holidays.,03/04/2013,03/04/2013,Added scope notes in version 2.02. Term name changed from 'Children's library service' to 'Libraries - children's services' in version 3.00. Name changed to 'Children's libraries' in version 4.00.,Service
1678,Children's Trust Board,Live,"Each local authority is required to have a Children's Trust Board. The term Children's Trust applies to the whole system of children's services, covering the work of partner agencies at every level, from the development of the overall strategy to the delivery of front-line services. It is local authorities who lead Children's Trusts working closely with the other local agencies with a legal duty to be part of the Trust: strategic health authorities, primary care trusts (PCTs), police authorities, local probation boards, youth offending teams, Connexions partnerships, the Learning and Skills Council for England and district councils.",20/02/2014,16/05/2019,,Service
852,Citizenship ceremonies,Live,Ceremonies organised for individuals who have been granted citizenship.  Attendance at the ceremony is the final step in the citizenship process and applicants for citizenship are required to attend to complete their application.  Ceremonies are typically held at regular intervals and may be for groups of new citizens or for individuals.,03/04/2013,03/04/2013,Added scope notes in version 2.02. Term name changed from 'Citizenship ceremonies' to 'Ceremonies - citizenship' in version 3.00. Name changed to 'Citizenship ceremonies' and scope notes revised in version 4.00.,Service
895,Citizenship education,Live,"Providing pupils with the knowledge, understanding and skills which prepare them to play an active role as citizens.  Ensuring that pupils have a clear understanding of their roles, rights and responsibilities in relation to their local, national and international communities.",03/04/2013,03/04/2013,Term name changed from 'Citizenship education' to 'Education - citizenship' in version 3.00. name changed to 'Citizenship education' in version 4.00.,Service
1413,Civic buildings,Live,Information about the location and opening hours of council offices.  May also include information about public meetings and the availability of civic officials for queries.,03/04/2013,03/04/2013,Added in version 3.09. Name changed to 'Civic buildings' and scope notes revised in version 4.00.,Service
1555,Civic events,Live,"In addition to formal occasions in which dignitaries are received at the city hall, citizens and associations can also be welcomed, for example in connection with a jubilee celebration, a party on receiving a decoration, handing out honours and distinctions, (exchange) projects with national and foreign partners, etc.",20/10/2010,20/10/2010,Added scope notes in version 3.11.,Service
1137,Civic liability,Live,Public administrations may be liable and could be subject to legal proceedings where property or other facilities which are owned and maintained by them cause damage or injury to people or property.,03/04/2013,16/05/2019,Name changed to 'Civic liability' and scope notes updated in version 4.00.,Service
1045,Civic recognition and awards,Live,Recognising the outstanding achievements of individuals and groups and the contributions people make to life in the community in the form of civic recognition or awards typically at an annual awards ceremony.,03/04/2013,03/04/2013,Name changed to 'Civic recognition and awards' and scope notes revised in version 4.00.,Service
793,Civil emergencies - flooding,Live,Providing advice and information on what to do in the event of a flood.  The council may also provide equipment such as sandbags and engineering advice to help residents/businesses in the event of flooding.,03/04/2013,03/04/2013,Term name changed from 'Flooding' to 'Emergency plans for flooding' and scope notes added in version 2.02. Scope notes updated in version 3.00 to clarify council responsibility. Term name changed from 'Emergency plans for flooding' to 'Civil emergencies - flooding' in version 3.00.,Service
794,Civil emergencies - gas pipelines,Live,Councils and their partners from the emergency services and public utilities have arrangements in place to respond to emergency incidents involving a major gas pipeline.,03/04/2013,03/04/2013,"Term name changed from 'Pipelines' to 'Pipelines (emergency plans)' and scope notes added in version 2.02, updated in version 3.06. Term name changed from 'Pipelines (emergency plans)' to 'Civil emergencies - gas pipelines' in version 3.00.",Service
792,Civil emergencies - major accident hazards,Live,"Councils have statutory and discretionary multi-agency plans to respond efficiently and effectively to a known potential hazards within its area. Agencies involved can include the Police, Fire and Rescue, Ambulance Service, utilities providers and voluntary agencies.",03/04/2013,03/04/2013,Added scope notes in version 2.02. Scope notes updated in version 3.06. Term name changed from 'Major accident hazards' to 'Civil emergencies - major accident hazards' in version 3.00.,Service
729,Civil emergencies - social and psychological support,Live,"Provision of a range of social and psychological support services in the aftermath of a major incident affecting residents or visitors. The council will most probably work closely with voluntary and statutory agencies, so that the services they provide are complementary to those already available.",03/04/2013,03/04/2013,Added scope notes in version 2.02. Scope notes revised in version 3.00 to include other agencies. Term name changed from 'Civil emergencies - Trauma Support Service' to 'Civil emergencies - social and psychological support' in version 3.00.,Service
875,Civil funerals,Live,"A civil funeral is a celebration reflecting the wishes of the deceased and their family. It is a personal and dignified tribute created by a professional celebrant who works closely with the family or executor and funeral director.  The celebrant will aim to create a highly personal ceremony with the help of family and/or friends -recounting the person's experiences, attributes and qualities using music, poetry, readings and personal anecdotes.  The civil funeral may be held anywhere except religious buildings and churches. The ceremony is appropriate for cremation or burial in a non-religious burial ground.",03/04/2013,03/04/2013,Term name changed from 'Civil funerals' to 'Death - funerals - civil' in version 3.00. Name changed to 'Civil funerals' in version 4.00.,Service
1750,Civil injunction,Live,"A Civil Injunction is designed to stop or prevent individuals engaging in anti-social behaviour quickly before the behaviour beings to escalate. It can offer fast and effective protection for victims and communities and set a clear standard of behaviour for perpetrators. A wide range of agencies can make use of the Civil Injunction including local councils, the Police and residential social landlords.",22/06/2015,22/06/2015,,Service
1296,Civil marriage and civil partnership venue licence,Live,The owner or manager of any premises planning to host civil weddings or partnership ceremonies must hold a licence to do so.  The licensed venue must be a permanent structure and the building itself must be in good repair and must have suitable fire precautions in place.,03/04/2013,16/05/2019,Added in version 3.08. Name updated in version 3.09. Name changed to 'Civil marriage and civil partnership venue licence' in version 4.00.,Service
691,Clean Air Act approval,Live,The local authority is responsible for ensuring compliance with regulations such as those which control smoke emissions and the height of chimneys and those relating to the content and composition of motor fuels.,03/04/2013,03/04/2013,Added scope notes in version 2.02. Scope notes updated in version 3.00 to include relevant legislation. Name changed to 'Clean Air Act approval' in version 4.00.,Service
232,Client contact problems,Live,Procedures for dealing with an existing social services client who has gone missing or is out of contact for a period which gives cause for concern.  The local authority will usually act jointly with the police in dealing with such incidents.,03/04/2013,03/04/2013,Added scope notes in version 2.02. Term name changed from 'Missing or out of contact client' to 'Social services - client contact problems' in version 3.00.  Change of name from 'Social services - client contact problems' to 'Social care - client contact problems' in version 3.07. Name changed to @client contact problems' in version 4.00.,Service
859,Clinical household waste,Live,"Collection and safe disposal of household clinical waste. This includes items such as surgical waste, used syringes, drugs and pharmaceuticals.",03/04/2013,03/04/2013,Term name changed from 'Household waste - clinical waste' to 'Refuse - household waste - clinical' in version 3.00. Name changed to 'Clinical household waste' in version 4.00.,Service
1683,Club gaming permit,Live,"Club gaming permits may be granted to members' clubs and miners' welfare institutes (but not commercial clubs), to authorise the use of up to 3 category B3A, B4, C or D gaming machines (3 machines in total), as well as equal chance gaming and games of chance as prescribed in the regulations.",20/02/2014,20/02/2014,,Service
1684,Club machine permit,Live,"If a club does not wish to have a club gaming permit or if they are a commercial club not permitted to provide non-machine gaming, they may apply for a club machine permit. This authorises the use of up to three category B4, C or D gaming machines (3 machines in total).",20/02/2014,20/02/2014,,Service
646,Club premises certificate,Live,"A club premises certificate is required by social, sporting or political members clubs in order to sell or supply alcohol and/or provide regulated entertainment, like musical performances or film screenings to members or guests.",03/04/2013,03/04/2013,Added scope notes in version 2.02. Scope notes updated in version 3.00 to include Scottish regulations. Term name changed from 'Licence - private club - late hours' to 'Licences - private club' in version 3.00. Scope notes updated in versions 3.04 and 3.05. Previously deprecated - reinstate in version 4.0.1.,Service
760,Coastal events,Live,"Provision of information and advice on events which may be ongoing or planned on waterways, in port/harbour areas or in coastal locations within the authority area.",03/04/2013,03/04/2013,Added scope notes in version 2.02. Term name changed from 'Events (marine)' to 'Coastline - events' in version 3.00. Name changed to 'Coastal events' in version 4.00.,Service
848,Coastal protection,Live,Review and maintenance of coastal protection (sea walls etc.) within the local authority area.,03/04/2013,03/04/2013,"""Added scope notes in version 2.02. Term name changed from 'Coastal protection' to 'Coastline - protection' in version 3.00. name changed to 'Coastal protection' in version 4.00.",Service
523,Commercial  clinical waste disposal,Live,"Collection and safe disposal of clinical waste. This includes items such as surgical waste, used syringes, drugs and pharmaceuticals.",03/04/2013,03/04/2013,Added scope notes in version 2.02. Term name changed from 'Commercial waste - clinical waste disposal' to 'Refuse - commercial waste - clinical waste disposal' in version 3.00. Name changed to 'Commercial clinical waste disposal' in version 4.00.,Service
93,Commercial lettings,Live,Each local authority provides a list of properties or land currently available to let within the area.,03/04/2013,03/04/2013,Term name changed from 'Lettings' to 'Commercial lettings' and scope notes added in version 2.02. Scope notes updated in version 3.00 to remove reference to purchase. Term name changed from 'Commercial lettings' to 'Land and property - commercial lettings' in version 3.00. Name changed to 'Commercial lettings' in version 4.00.,Service
900,Commercial property development,Live,"A local authority may provide financial support to help develop and redevelop industrial and commercial land and buildings.  Assistance is directed towards work which will create or enhance existing floor space, bring currently obsolete/vacant land and buildings into beneficial use and improve working conditions",03/04/2013,03/04/2013,Term name changed from 'Land and property improvement' to 'Land and property - improvement' in version 3.00. Name changed to 'Commercial property development' in version 4.00.,Service
519,Commercial waste bins,Live,Provision of bins for the collection of trade waste.  Bins are usually offered in a variety of sizes to suit the requirements of all local businesses.  Charges are determined by the number and size of bins required.,03/04/2013,03/04/2013,Added scope notes in version 2.02. Term name changed from 'Commercial waste - trade bins' to 'Refuse - commercial waste - trade bins' in version 3.00. Name changed to 'Commercial waste bins' in version 4.00.,Service
517,Commercial waste collection,Live,Provision of a regular commercial trade waste collection from local businesses. Businesses are required to provide a written description of their waste and ensure that it is packed in suitable containers.,03/04/2013,03/04/2013,Added scope notes in version 2.02. Term name changed from 'Commercial waste - collection' to 'Refuse - commercial waste - collection' in version 3.00. Name changed to 'Commercial waste collection' in version 4.00.,Service
520,Commercial waste disposal sites,Live,"Disposal of commercial waste is the responsibility of the business owner.  The local authority may provide sites which business may use (for a fee) to dispose of their waste.  If available the authority will publish details of the location, opening times, terms and conditions of use and charges for the use of the sites.",03/04/2013,03/04/2013,Added scope notes in version 2.02. Term name changed from 'Commercial waste - disposal sites' to 'Refuse - commercial waste - disposal sites' in version 3.00. name changed to 'Commercial waste disposal sites' in version 4.00.,Service
522,Commercial waste special collections,Live,"Any waste generated by a commercial organisation is the responsibility of the organisation to dispose of correctly. Advice on how to dispose of waste may be given by the council (including details of local organisations who offer waste collection services). The council may also provide a service which can arrange for special collections of large amounts of waste, bulky materials or confidential waste from commercial premises for a fee.",03/04/2013,03/04/2013,Added scope notes in version 2.02. Scope notes updated in version 3.00 to include confidential waste. Term name changed from 'Commercial waste - special trade collections' to 'Refuse - commercial waste - special trade collections' in version 3.00. Name changed to 'Commercial waste special collections' in version 4.00.,Service
518,Commercial waste spillage,Live,The Council will deal with reports of spillages of commercial waste.  Commercial customers are able to use either the service provided by the Local Authority or private contractor. Enforcement of appropriate regulations in respect of waste containment is the responsibility of the council.,03/04/2013,03/04/2013,"Added scope notes in version 2.02, updated in version 3.06. Term name changed from 'Commercial waste - spillage' to 'Refuse - commercial waste - spillage' in version 3.00. Name changed to 'Commerical waste spillage' in version 4.00.",Service
878,Common Assessment Framework,Live,The Common Assessment Framework (CAF) for Children and Young People is a key part of the strategy to shift the focus from dealing with the consequences of difficulties in children's lives to preventing things from going wrong in the first place. It is a nationally standardised approach to conducting an assessment of the needs of a child or young person and deciding how those needs should be met.,03/04/2013,03/04/2013,Term name changed from 'Common Assessment Framework' to 'Social services - Common Assessment Framework' in version 3.00.  Changed name from version 'Social services - Common Assessment Framework' to 'Social care - Common Assessment Framework' in version 3.07. Name changed to 'Common aSSESSMENT fRAMEWORK' IN VERSION 4.00.,Service
649,Common land and village greens,Live,The local authority is responsible for maintaining a register of common land and village greens within its boundaries.,03/04/2013,03/04/2013,Added scope notes in version 2.02. Name changed to 'Common land and village greens' in version 4.00.,Service
122,Communal heating charge,Live,"Communal heating charges for council properties are divided among all residents on an estate, the proportion is added to their rent account.",03/04/2013,03/04/2013,Added scope notes in version 2.02. Term name changed from 'Communal heating charges' to 'Housing - council - communal heating charge' in version 3.00. Name changed to 'Communal heating charges' in version 4.00.,Service
140,Communal housing repairs,Live,"The local authority deals with repairs to communal areas within council accommodation such as communal lighting in a block of flats, or the communal drainpipes to a block of garages.",03/04/2013,03/04/2013,Added scope notes in version 2.02. Term name changed from 'Housing repairs - communal areas' to 'Housing - repairs - communal areas' in version 3.00. Name changed to 'Communal housing repairs' in version 4.00.,Service
566,Communal lighting,Live,"The local authority is responsible for repairs to communal areas in blocks of flats including stairs, door entry systems, communal lighting, landings, communal windows, courtyards and sheds.",03/04/2013,03/04/2013,Added scope notes in version 2.02. Term name changed from 'Lighting - council communal flats' to 'Housing - council - lighting' in version 3.00. Name changed to 'Communal lighting' in version 4.00.,Service
313,Community alarms and Telecare,Live,"The community alarm service provides peace of mind for people who feel at risk in their own homes. It is a 24 hour 365 day monitoring service which works via a special alarm unit connected to the telephone line. 
In the UK Telecare provides support to people in their own homes with the help of technology and community response services, allowing them to live more safely and independently. The equipment available is designed to assist a wide range of people, including older people, people with disabilities and carers.",03/04/2013,03/04/2013,Added scope notes in version 2.02. Term name changed from 'Care/scan/community alarm services' to 'Social services - community alarm services' in version 3.00.  Changed name from 'Social services - community alarm services' to 'Social services - Community alarms and Telecare' in version 3.07.  Changed name for SSL and scope  notes in version 3.07. Name changed to 'Community alarms and Telecare' in version 4.00.,Service
272,Community and accessible transport,Live,"Provision of  transport for members of the community who do not have full mobility and therefore do not have suitable conventional public transport services available for their travel needs.  Includes schemes such as 'dial-a-ride', shopmobility, community bus and car schemes and taxis or mini-cabs which can be privately ordered.",04/03/2013,03/04/2013,Label and description modified to include other assistance in April 2020,Service
719,Community assemblies and committees,Live,Publication of details of local assemblies and committees and the dates and venues for forthcoming meetings.,03/04/2013,03/04/2013,Added scope notes in version 2.02. Term name changed from 'Assemblies and committees - diary and year book' to 'Community assemblies and committees - schedule of meetings' in version 3.00. Name changed to 'Community assemblies and committees' in version 4.00.,Service
1653,Community asset transfer,Live,The transfer of land or buildings from the council's freehold ownership into the stewardship and/or ownership of third sector organisations.  Local people are often best placed to manage community facilities in their area. They already make extensive use of these assets and their local knowledge and hands-on management often results in lower overheads and better value-for-money.  Organisations are able to apply for a community asset transfer of facilities where they can put a business case and show the community benefit for doing so.,27/09/2013,27/09/2013,"Added in version 4.0.1 to the English hand welsh, local government service list.",Service
1149,Community centres,Live,"Community Centres are a physical resource, which acts as a focal point for activities run by communities coming together through geographic proximity or because of a particular interest and/or identity.   Centres provide meeting places for local interest based clubs and societies, venues for adult education classes and public meetings, offices for community projects, plus they also have many other uses. Centres would be lifeless buildings, lacking in character, if they were not 'owned' by communities. People provide the warmth, which makes centres welcoming to communities.",03/04/2013,16/05/2019,Added in version 3.05.,Service
366,Community engagement,Live,"Community engagement provides a link between local people, local organisations and decision makers.   Physical or virtual meetings and dialogues provide an opportunity for local leaders to listen to the views of their communities and for local people to have their say.",04/03/2013,03/04/2013,Description updated in April 2020 review,Service
1402,Community equipment loans,Live,"Public organisations may keep supplies of some materials which they will loan to members of the public or local organisations.  Items which may be loaned can be items needed to improve safety at organised events such as fenceposts, crush barriers and safety vests, medical equipment for events or for individuals, technology equipment or anything which can benefit local citizens or voluntary groups.",03/04/2013,03/04/2013,Added in version 3.09. Name changed to 'Community equipment loans' and scope notes revised in version 4.00.,Service
755,Community facility grants,Live,Provision of grants for improvements to village halls and other local facilities subject to local terms and conditions.,03/04/2013,03/04/2013,"Added scope notes in version 2.02. Term name changed from 'Village halls (advice, grants etc.)' to 'Grants - community facilities' in version 3.00. Name changed to 'Community facility grants' in version 4.00.",Service
746,Community farms,Live,Farms and smallholdings managed by the local authority on behalf of the community.   Community farms provide an opportunity for children to learn about where food comes from and witness the hustle and bustle and all the elements of a working countryside farm within an urban setting.,03/04/2013,03/04/2013,Added scope notes in version 2.02. Term name changed from 'Farm management' to 'Farming - farm management' in version 3.00. Name changed to 'Community farms' in version 4.00.,Service
802,Community fire safety,Live,The local fire authority will help residents and businesses minimise the risk of fire in their homes or place of work by providing advice on fire prevention and protection.,03/04/2013,03/04/2013,Added scope notes in version 2.02. Term name changed from 'Community fire safety' to 'Fire and rescue - community safety' in version 3.00. Name changed to 'Community fire safety' in version 4.00.,Service
871,Community grants,Live,Funding made available to community or voluntary groups and organisations which are based in the local area and/or provide services to local people. ,03/04/2013,03/04/2013,Term name changed from 'Community grants' to 'Grants - community' in version 3.00. Name changed to 'Community grants' and scope notes revised in version 4.00.,Service
1711,Community infrastructure levy (CIL),Live,The Community Infrastructure Levy (CIL) is a planning charge that Local Authorities and the Mayor of London can set on new development to help pay for community infrastructure.,20/02/2014,20/02/2014,,Service
1412,Community noticeboards,Live,"Provision of noticeboards which can be used  to inform local people about what is going on in their area; providing information from the local council, the Police and other partner organisations as well as information on activities run by local communities and organisations.",03/04/2013,03/04/2013,Added in version 3.09. Name changed to 'Community noticeboards' and scope notes revised in version 4.00.,Service
1752,Community protection notice,Live,"A Community Protection Notice can be issued to stop a business, organisation or person over the age of 16 committing anti-social behaviour which spoils the community's quality of life. It can be used to deal with particular on-going problems or nuisances which negatively impact on or affect the community, by targeting those responsible. It can cover a wide range of anti-social behaviours and can be used against a wide range of perpetrators.",22/06/2015,22/06/2015,,Service
870,Community safety,Live,"Crime, fear of crime and anti-social behaviour is an important consideration for local communities.   Various agencies, including the local council and police, work with the community to reduce crime and risks to safety and to maintain quality of life for people who live, work and visit the area.",03/04/2013,03/04/2013,Scope notes revised in version 4.00.,Service
720,Community strategy,Live,"Preparation of a community strategy to promote and improve the economic, social and environmental well-being of the local area and to contribute to the achievement of sustainable development. 
In Scotland legislation places duties on local authorities - to initiate, facilitate and maintain Community Planning. Local authorities have a duty to develop a comprehensive Community Plan along with relevant stakeholders to promote or improve the social, economic and environmental well-being of their areas and contribute to the achievement of sustainable development in Scotland.",03/04/2013,03/04/2013,Added scope notes in version 2.02. Scope notes updated in version 3.00 to include Scottish legislation.,Service
297,Community support groups and organisations,Live,"Information about recognised groups and organisations that provide advice and support for those who may be in need of community care such as the elderly, disabled or those with learning difficulties.",03/04/2013,03/04/2013,Term name changed from 'Support groups and organisations' to 'Community support groups and organisations' and scope notes added in version 2.02. Term name changed from 'Community support groups and organisations' to 'Social services - community support groups and organisations - information' in version 3.00. Name changed to 'Community support groups and organisations' in version 4.00.,Service
1044,Community wardens,Live,"Wardens deal with a range of quality of life issues, such as keeping neighbourhoods clean, removing graffiti and reporting any issues to the relevant organisations and authorities. The Wardens work with the Police and other agencies to help reduce crime, the fear of crime and all types of antisocial behaviour.",03/04/2013,03/04/2013,,Service
645,Complaints advocacy,Live,Provision of an advocate who can act on behalf of a customer who has made a complaint about one or more services provided by the local authority.,03/04/2013,03/04/2013,Added scope notes in version 2.02. Term name changed from 'Complaints - advocacy' to 'Council - complaints - advocacy for complainants' in version 3.00. Name changed to 'Complaints advocacy' in version 4.00.,Service
353,Complaints procedure,Live,"Provision of a means for local residents and businesses to comment or complain about any of the services it provides.  Complaints may be about the quality of the service,  delays in providing the service, discrimination or the behaviour of council staff or council representatives.",03/04/2013,03/04/2013,Added scope notes in version 2.02. Name changed to 'Complaints procedure' in version 4.00.,Service
535,Composters,Live,Provision of composters for recycling garden waste.  These may be available to local residents free of charge or for purchase at a subsidised rate.,03/04/2013,03/04/2013,Added scope notes in version 2.02. Name changed to 'Composters' in version 4.00.,Service
714,Compulsory property acquisition,Live,The council can be granted the power to buy or take rights over private property if it falls within a public or private construction project such as housing regeneration or a redevelopment area / project.  Prior to issue of CPOs there should be a consultation and may be a public enquiry.,03/04/2013,03/04/2013,Added scope notes in version 2.02. scope notes changed in version 3.00 to cover full description of service. Term name changed from 'Private property compulsory acquisition' to 'Land and property - compulsory acquisition - private property' in version 3.00. name changed to 'Compulsory property acquisition' in version 4.00.,Service
442,Computers and IT skills,Live,"Details of locations, such as local libraries, where the public can access the internet, make use of equipment and receive instruction to improve their IT skills.",04/03/2013,16/05/2019,Description updated in April 2020 review,Service
373,"Conference, hall and meeting room hire",Live,"Details on any local venues available for private/business hire including the location, size, facilities available, cost and how to book.",04/03/2013,03/04/2013,Description updated in April 2020 review,Service
1355,"Consent for cellars, pavement lights and ventilators under street",Live,"In order to make an opening in the footway for a cellar, pavement lights or ventilation consent to do so must have been previously obtained from the local authority.",03/04/2013,03/04/2013,"Added in version 3.10. Name changed to 'Consent for cellars, pavement lights and ventilators under streets' in version 4.00.",Service
512,Conservation area planning,Live,"The local authority provide advice and consultation to local residents who are considering carrying out any works on or demolition of property within a conservation area. The authority can advise on the need for permission, their procedures, what should be submitted with an application and the matters that will be taken into account in deciding an application.",03/04/2013,03/04/2013,Added scope notes in version 2.02. Term name changed from 'Conservation and urban design planning - conservation advice' to 'Planning - conservation advice' in version 3.00. Name changed to 'Conservation advice' in version 4.00.,Service
1736,Conservation area tree works notification,Live,Anyone wishing to carry out work on trees within a conservation area must give the relevant planning authority six weeks' notice of intention to do these works and must not commence work within that period.  This will give the planning authority time to consider whether or not to place a tree preservation order on the tree or trees.,18/06/2014,18/06/2014,,Service
511,Conservation areas,Live,"Councils have the power to designate as Conservation Areas, areas of special architectural or historic interest, the character or appearance of which it is desirable to preserve or enhance. It is the responsibility of the council to ensure that any new development should be sympathetic to the special architectural and aesthetic qualities of the area, particularly in terms of scale, design, materials and space between buildings.  Councils have a statutory obligation to compile a list containing particulars of any area which has been designated as a conservation area which is available for public inspection.",03/04/2013,03/04/2013,Added scope notes in version 2.02. Scope notes updated in version 3.00 to include maintaining the statutory register. Term name changed from 'Conservation and urban design planning - conservation areas' to 'Planning - conservation areas' in version 3.00. Name changed to 'Conservation areas' in version 4.00.,Service
1291,Constitution,Live,"It is a legal requirement for a public sector organisation to have a constitution which sets out how the organisation will operate and the procedures that are followed to ensure that decision making is efficient, transparent and accountable to local people.",03/04/2013,03/04/2013,Added in version 3.07. Name changed to 'Constitution' in version 4.00.,Service
